,DAY,OFNS_DESC,COUNT
1237,26, GRAND LARCENY OF MOTOR VEHICLE,746
904,19, GRAND LARCENY OF MOTOR VEHICLE,746
910,19, MISCELLANEOUS PENAL LAW,742
9,1, CRIMINAL TRESPASS,741
318,7, MISCELLANEOUS PENAL LAW,741
509,11, GRAND LARCENY OF MOTOR VEHICLE,738
1086,23, CRIMINAL TRESPASS,738
561,12, GRAND LARCENY OF MOTOR VEHICLE,737
1192,25, GRAND LARCENY OF MOTOR VEHICLE,736
1004,21, GRAND LARCENY OF MOTOR VEHICLE,736
759,16, GRAND LARCENY OF MOTOR VEHICLE,735
1378,29, GRAND LARCENY OF MOTOR VEHICLE,734
796,17, CRIMINAL TRESPASS,733
1040,22, CRIMINAL TRESPASS,732
265,6, MISCELLANEOUS PENAL LAW,731
161,4, GRAND LARCENY OF MOTOR VEHICLE,727
113,3, GRAND LARCENY OF MOTOR VEHICLE,727
1463,31, BURGLARY,726
169,4, MISCELLANEOUS PENAL LAW,725
67,2, GRAND LARCENY OF MOTOR VEHICLE,725
120,3, MISCELLANEOUS PENAL LAW,724
359,8, GRAND LARCENY OF MOTOR VEHICLE,723
468,10, MISCELLANEOUS PENAL LAW,721
716,15, MISCELLANEOUS PENAL LAW,719
217,5, MISCELLANEOUS PENAL LAW,718
807,17, GRAND LARCENY OF MOTOR VEHICLE,718
211,5, GRAND LARCENY OF MOTOR VEHICLE,716
409,9, GRAND LARCENY OF MOTOR VEHICLE,713
1271,27, CRIMINAL TRESPASS,713
952,20, GRAND LARCENY OF MOTOR VEHICLE,713
309,7, GRAND LARCENY OF MOTOR VEHICLE,705
856,18, GRAND LARCENY OF MOTOR VEHICLE,705
415,9, MISCELLANEOUS PENAL LAW,698
568,12, MISCELLANEOUS PENAL LAW,694
1468,31, DANGEROUS WEAPONS,692
1318,28, CRIMINAL TRESPASS,690
1336,28, MISCELLANEOUS PENAL LAW,686
814,17, MISCELLANEOUS PENAL LAW,685
517,11, MISCELLANEOUS PENAL LAW,684
1133,24, CRIMINAL TRESPASS,682
666,14, MISCELLANEOUS PENAL LAW,681
861,18, MISCELLANEOUS PENAL LAW,681
1009,21, MISCELLANEOUS PENAL LAW,676
1428,30, GRAND LARCENY OF MOTOR VEHICLE,675
366,8, MISCELLANEOUS PENAL LAW,669
765,16, MISCELLANEOUS PENAL LAW,669
1197,25, MISCELLANEOUS PENAL LAW,666
1180,25, CRIMINAL TRESPASS,665
1242,26, MISCELLANEOUS PENAL LAW,664
73,2, MISCELLANEOUS PENAL LAW,658
1103,23, MISCELLANEOUS PENAL LAW,652
958,20, MISCELLANEOUS PENAL LAW,651
1286,27, MISCELLANEOUS PENAL LAW,647
1386,29, MISCELLANEOUS PENAL LAW,647
1056,22, MISCELLANEOUS PENAL LAW,643
1225,26, CRIMINAL TRESPASS,643
1365,29, CRIMINAL TRESPASS,638
1150,24, MISCELLANEOUS PENAL LAW,635
1435,30, MISCELLANEOUS PENAL LAW,619
1484,31, OFFENSES AGAINST PUBLIC ADMINI,597
1417,30, CRIMINAL TRESPASS,583
882,18, VEHICLE AND TRAFFIC LAWS,525
538,11, VEHICLE AND TRAFFIC LAWS,522
687,14, VEHICLE AND TRAFFIC LAWS,519
637,13, VEHICLE AND TRAFFIC LAWS,502
1030,21, VEHICLE AND TRAFFIC LAWS,500
190,4, VEHICLE AND TRAFFIC LAWS,497
1123,23, VEHICLE AND TRAFFIC LAWS,494
981,20, VEHICLE AND TRAFFIC LAWS,492
1076,22, VEHICLE AND TRAFFIC LAWS,491
1216,25, VEHICLE AND TRAFFIC LAWS,485
736,15, VEHICLE AND TRAFFIC LAWS,485
786,16, VEHICLE AND TRAFFIC LAWS,482
337,7, VEHICLE AND TRAFFIC LAWS,480
488,10, VEHICLE AND TRAFFIC LAWS,479
45,1, VEHICLE AND TRAFFIC LAWS,478
834,17, VEHICLE AND TRAFFIC LAWS,477
1261,26, VEHICLE AND TRAFFIC LAWS,476
1170,24, VEHICLE AND TRAFFIC LAWS,472
929,19, VEHICLE AND TRAFFIC LAWS,471
139,3, VEHICLE AND TRAFFIC LAWS,470
1309,27, VEHICLE AND TRAFFIC LAWS,468
436,9, VEHICLE AND TRAFFIC LAWS,465
589,12, VEHICLE AND TRAFFIC LAWS,457
733,15, THEFT-FRAUD,457
1355,28, VEHICLE AND TRAFFIC LAWS,454
237,5, VEHICLE AND TRAFFIC LAWS,448
286,6, VEHICLE AND TRAFFIC LAWS,439
1476,31, GRAND LARCENY OF MOTOR VEHICLE,436
385,8, VEHICLE AND TRAFFIC LAWS,434
16,1, FRAUDS,432
23,1, INTOXICATED & IMPAIRED DRIVING,422
92,2, VEHICLE AND TRAFFIC LAWS,420
1455,30, VEHICLE AND TRAFFIC LAWS,419
1407,29, VEHICLE AND TRAFFIC LAWS,418
313,7, INTOXICATED & IMPAIRED DRIVING,402
811,17, INTOXICATED & IMPAIRED DRIVING,401
