,DAY,OFNS_DESC,COUNT
1643,29, MISCELLANEOUS PENAL LAW,3784
1620,29, DANGEROUS WEAPONS,3755
40,1, OFFENSES AGAINST PUBLIC ADMINI,3754
270,5, OFFENSES AGAINST PUBLIC ADMINI,3731
326,6, OFFENSES AGAINST PUBLIC ADMINI,3718
1132,20, OFFENSES AGAINST PUBLIC ADMINI,3662
731,13, OFFENSES AGAINST PUBLIC ADMINI,3634
541,10, GRAND LARCENY OF MOTOR VEHICLE,3616
1680,30, DANGEROUS WEAPONS,3616
210,4, OFFENSES AGAINST PUBLIC ADMINI,3613
1228,22, GRAND LARCENY OF MOTOR VEHICLE,3606
615,11, OFFENSES AGAINST PUBLIC ADMINI,3593
24,1, GRAND LARCENY OF MOTOR VEHICLE,3589
441,8, OFFENSES AGAINST PUBLIC ADMINI,3584
497,9, OFFENSES AGAINST PUBLIC ADMINI,3579
845,15, OFFENSES AGAINST PUBLIC ADMINI,3573
903,16, OFFENSES AGAINST PUBLIC ADMINI,3551
556,10, OFFENSES AGAINST PUBLIC ADMINI,3540
1287,23, GRAND LARCENY OF MOTOR VEHICLE,3538
829,15, GRAND LARCENY OF MOTOR VEHICLE,3537
1075,19, OFFENSES AGAINST PUBLIC ADMINI,3536
1344,24, GRAND LARCENY OF MOTOR VEHICLE,3522
787,14, OFFENSES AGAINST PUBLIC ADMINI,3520
153,3, OFFENSES AGAINST PUBLIC ADMINI,3514
1402,25, GRAND LARCENY OF MOTOR VEHICLE,3514
945,17, GRAND LARCENY OF MOTOR VEHICLE,3509
773,14, GRAND LARCENY OF MOTOR VEHICLE,3509
1117,20, GRAND LARCENY OF MOTOR VEHICLE,3499
1186,21, OFFENSES AGAINST PUBLIC ADMINI,3492
1174,21, GRAND LARCENY OF MOTOR VEHICLE,3491
385,7, OFFENSES AGAINST PUBLIC ADMINI,3484
1571,28, GRAND LARCENY OF MOTOR VEHICLE,3483
1059,19, GRAND LARCENY OF MOTOR VEHICLE,3472
1003,18, GRAND LARCENY OF MOTOR VEHICLE,3470
95,2, OFFENSES AGAINST PUBLIC ADMINI,3458
674,12, OFFENSES AGAINST PUBLIC ADMINI,3452
1300,23, OFFENSES AGAINST PUBLIC ADMINI,3451
484,9, GRAND LARCENY OF MOTOR VEHICLE,3443
1243,22, OFFENSES AGAINST PUBLIC ADMINI,3441
599,11, GRAND LARCENY OF MOTOR VEHICLE,3439
1457,26, GRAND LARCENY OF MOTOR VEHICLE,3433
1017,18, OFFENSES AGAINST PUBLIC ADMINI,3427
197,4, GRAND LARCENY OF MOTOR VEHICLE,3407
428,8, GRAND LARCENY OF MOTOR VEHICLE,3400
888,16, GRAND LARCENY OF MOTOR VEHICLE,3400
658,12, GRAND LARCENY OF MOTOR VEHICLE,3397
1359,24, OFFENSES AGAINST PUBLIC ADMINI,3397
716,13, GRAND LARCENY OF MOTOR VEHICLE,3388
1587,28, OFFENSES AGAINST PUBLIC ADMINI,3382
313,6, GRAND LARCENY OF MOTOR VEHICLE,3381
254,5, GRAND LARCENY OF MOTOR VEHICLE,3360
1529,27, OFFENSES AGAINST PUBLIC ADMINI,3348
1512,27, GRAND LARCENY OF MOTOR VEHICLE,3335
138,3, GRAND LARCENY OF MOTOR VEHICLE,3324
1469,26, OFFENSES AGAINST PUBLIC ADMINI,3319
1415,25, OFFENSES AGAINST PUBLIC ADMINI,3313
370,7, GRAND LARCENY OF MOTOR VEHICLE,3306
1631,29, GRAND LARCENY OF MOTOR VEHICLE,3292
82,2, GRAND LARCENY OF MOTOR VEHICLE,3247
1691,30, GRAND LARCENY OF MOTOR VEHICLE,3216
1648,29, OFFENSES AGAINST PUBLIC ADMINI,3147
1705,30, OFFENSES AGAINST PUBLIC ADMINI,3116
949,17, INTOXICATED & IMPAIRED DRIVING,2626
28,1, INTOXICATED & IMPAIRED DRIVING,2605
720,13, INTOXICATED & IMPAIRED DRIVING,2562
316,6, INTOXICATED & IMPAIRED DRIVING,2544
1007,18, INTOXICATED & IMPAIRED DRIVING,2537
1516,27, INTOXICATED & IMPAIRED DRIVING,2490
833,15, INTOXICATED & IMPAIRED DRIVING,2486
258,5, INTOXICATED & IMPAIRED DRIVING,2481
662,12, INTOXICATED & IMPAIRED DRIVING,2475
892,16, INTOXICATED & IMPAIRED DRIVING,2453
374,7, INTOXICATED & IMPAIRED DRIVING,2449
586,11, CRIMINAL TRESPASS,2446
201,4, INTOXICATED & IMPAIRED DRIVING,2442
860,15, THEFT-FRAUD,2421
1232,22, INTOXICATED & IMPAIRED DRIVING,2417
776,14, INTOXICATED & IMPAIRED DRIVING,2416
125,3, CRIMINAL TRESPASS,2413
470,9, CRIMINAL TRESPASS,2412
528,10, CRIMINAL TRESPASS,2412
432,8, INTOXICATED & IMPAIRED DRIVING,2408
645,12, CRIMINAL TRESPASS,2402
