,DAY,OFNS_DESC,COUNT
500,10, POSSESSION OF STOLEN PROPERTY,315
1547,31, THEFT-FRAUD,315
71,2, FRAUDS,314
801,16, POSSESSION OF STOLEN PROPERTY,314
576,12, FRAUDS,313
701,14, POSSESSION OF STOLEN PROPERTY,312
248,5, POSSESSION OF STOLEN PROPERTY,312
826,17, FRAUDS,311
44,1, POSSESSION OF STOLEN PROPERTY,311
1100,22, POSSESSION OF STOLEN PROPERTY,311
651,13, POSSESSION OF STOLEN PROPERTY,309
324,7, FRAUDS,309
550,11, POSSESSION OF STOLEN PROPERTY,307
628,13, FRAUDS,306
1050,21, POSSESSION OF STOLEN PROPERTY,302
398,8, POSSESSION OF STOLEN PROPERTY,301
424,9, FRAUDS,301
1026,21, FRAUDS,300
122,3, FRAUDS,300
926,19, FRAUDS,300
526,11, FRAUDS,299
373,8, FRAUDS,299
1127,23, FRAUDS,298
449,9, POSSESSION OF STOLEN PROPERTY,298
851,17, POSSESSION OF STOLEN PROPERTY,298
1549,31, VEHICLE AND TRAFFIC LAWS,297
298,6, POSSESSION OF STOLEN PROPERTY,293
676,14, FRAUDS,293
220,5, FRAUDS,293
1152,23, POSSESSION OF STOLEN PROPERTY,293
1324,27, FRAUDS,293
1276,26, FRAUDS,292
1001,20, POSSESSION OF STOLEN PROPERTY,291
1227,25, FRAUDS,290
146,3, POSSESSION OF STOLEN PROPERTY,290
900,18, POSSESSION OF STOLEN PROPERTY,288
1402,28, POSSESSION OF STOLEN PROPERTY,287
777,16, FRAUDS,285
950,19, POSSESSION OF STOLEN PROPERTY,280
349,7, POSSESSION OF STOLEN PROPERTY,277
1075,22, FRAUDS,277
